psmiles,value
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCCCC,409
*C(C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCCCCCCCCCCCCCC,408.5
*C(C*)c1ccc(cc1)CN(N=Cc1c2c(cs1)OCCO2)c1ccccc1,240
*C(C*)c1c(ccc(c1)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)OC,352
*C(C*)c1c(ccc(c1)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)OCCCC,370
*C(C*)c1c(ccc(c1)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)OCCCCCC,376
*C(C*)c1c(ccc(c1)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F)c1ccc(cc1)OCCCCCCCC,345
*C(C*)c1c(ccc(c1)C(=O)OCCCC)c1ccc(cc1)OC,380
*C(C*)c1c(ccc(c1)C(=O)OCCCC)c1ccc(cc1)OCCCC,383
*C(C*)c1c(ccc(c1)C(=O)OCCCC)c1ccc(cc1)OCCCCCC,384
*C(=C*)c1ccc(cc1)n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)C#C,440
*C1C(C(C(C1)C=C*)(F)F)(C(F)(F)F)C(F)(F)F,342
*C1C(C(C(C1)C=C*)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F,323
